when,party,mean,q05,q25,q50,q75,q95,p_over_5pct
election_day,National,0.2913358807563782,0.233738511800766,0.2671133279800415,0.29015836119651794,0.31484875828027725,0.352521738409996,1.0
election_day,Labour,0.27590370178222656,0.19833753779530525,0.24183541536331177,0.2737479507923126,0.30737485736608505,0.36033665835857376,1.0
election_day,Green,0.11361002177000046,0.08561287820339203,0.10075845569372177,0.11222939193248749,0.12496893666684628,0.14617973193526265,0.99985
election_day,ACT,0.09046700596809387,0.05217748135328293,0.07152023166418076,0.08690788596868515,0.1057390347123146,0.13940618932247162,0.96015
election_day,NZ First,0.11413037031888962,0.07136362791061401,0.09331003576517105,0.1108960509300232,0.1315862387418747,0.16872692629694935,0.997
election_day,Te Pāti Māori,0.022675177082419395,0.012085584923624992,0.017238233238458633,0.021400805562734604,0.026550665497779846,0.03736703842878342,0.008
election_day,TOP,0.06448974460363388,0.026273299008607864,0.04304291307926178,0.05855981633067131,0.07918737828731537,0.12231364101171494,0.64185
election_day,Other,0.027388064190745354,0.010375654604285956,0.017466366291046143,0.024165159091353416,0.033695586025714874,0.05501658692955964,0.07315
now,National,0.29638680815696716,0.266568098962307,0.2834020182490349,0.2954481840133667,0.30799010396003723,0.3283098936080932,1.0
now,Labour,0.2778094708919525,0.24472267925739288,0.2649942860007286,0.2780505120754242,0.29082363843917847,0.31019651889801025,1.0
now,Green,0.1152133196592331,0.09923920035362244,0.10841716825962067,0.11455214396119118,0.12138543836772442,0.1328733116388321,1.0
now,ACT,0.08897905796766281,0.07402835786342621,0.08224008977413177,0.08829646557569504,0.09532348066568375,0.1058163121342659,1.0
now,NZ First,0.11356916278600693,0.09496960043907166,0.10558709315955639,0.11323529109358788,0.12126113660633564,0.13329118490219116,1.0
now,Te Pāti Māori,0.022166825830936432,0.01601982181891799,0.019319157116115093,0.021736642345786095,0.024481720756739378,0.029509974643588066,0.00145
now,TOP,0.06065753102302551,0.042917342856526375,0.05330111365765333,0.060279252007603645,0.06747232377529144,0.0797962099313736,0.8396
now,Other,0.0252178106456995,0.01854255609214306,0.022137368097901344,0.024882864207029343,0.027985733933746815,0.033055453747510906,0.00015
