target,horizon_weeks,variant,cutoff,n_polls,p_right_bloc_ahead,right_bloc_ahead,brier_bloc,crps_pp,energy_pp,log_score_share,mae_pp,coverage_50,coverage_90,crps_pp[National],error_pp[National],sd_pp[National],pit[National],crps_pp[Labour],error_pp[Labour],sd_pp[Labour],pit[Labour],crps_pp[Green],error_pp[Green],sd_pp[Green],pit[Green],crps_pp[ACT],error_pp[ACT],sd_pp[ACT],pit[ACT],crps_pp[NZ First],error_pp[NZ First],sd_pp[NZ First],pit[NZ First],crps_pp[Te Pāti Māori],error_pp[Te Pāti Māori],sd_pp[Te Pāti Māori],pit[Te Pāti Māori],crps_pp[New Conservative],error_pp[New Conservative],sd_pp[New Conservative],pit[New Conservative],crps_pp[United Future],error_pp[United Future],sd_pp[United Future],pit[United Future],crps_pp[TOP],error_pp[TOP],sd_pp[TOP],pit[TOP]
2017,1,base,2017-09-16,211,0.36,true,0.4096,0.5033851913736861,2.4654521544349284,34.084645262649985,0.7516519520385192,0.875,1.0,1.0765231286585333,-1.588469815254212,3.436497211456299,0.681,2.0605378012466433,3.4694166040420527,4.056676864624023,0.171,0.314251807876155,-0.33045153737068234,1.1239205598831177,0.654,0.05114818360919599,0.09186723083257674,0.15627139806747437,0.306,0.417640894875303,-0.47648133039474433,1.377185583114624,0.659,0.05922153408542273,0.0017009188234806336,0.26119714975357056,0.519,0.033410566504110305,0.024833448454737686,0.1682225614786148,0.548,0.014347614134125632,0.02999473113566637,0.05887541174888611,0.355,,,,
2017,26,base,2017-03-25,191,0.942,true,0.003364000000000006,1.6372388306794243,7.207417075945035,15.851566121854368,2.211594128925353,0.25,0.625,2.0386510209649793,3.249952125549316,2.8093652725219727,0.121,5.964980417893827,-7.864960923194886,3.455237627029419,0.985,3.9931967771269394,4.505360465049743,0.9292067289352417,0.0,0.04433765686587435,0.06235902011394499,0.20820261538028717,0.425,0.6721059058718384,1.2377624094486241,2.3563082218170166,0.319,0.14451621930981054,0.293204605281353,0.4609646201133728,0.24,0.11023781079099046,0.2603923084586859,0.38036954402923584,0.208,0.12988483661113778,0.21876117430627345,0.20434819161891937,0.016,,,,
2017,4,base,2017-08-26,205,0.767,true,0.05428899999999999,1.1067189208110202,4.919569509416432,30.560329060722825,1.5108861848316155,0.5,0.875,0.8394818035990002,0.6020604848861688,3.352175712585449,0.412,3.91101871495545,-5.78055073261261,4.087757110595703,0.905,2.5822132039539523,3.2779525625705714,1.2717069387435913,0.015,0.06617911990727296,0.1241380702704191,0.18881581723690033,0.258,1.3414078003961598,2.2560682773590095,2.092482805252075,0.133,0.058556794083202246,-0.0030174407362937652,0.287381112575531,0.541,0.03540655558849278,0.00502354208379986,0.1756615787744522,0.594,0.0194873740046331,0.03827836813405156,0.05782083421945572,0.246,,,,
2017,8,base,2017-07-29,199,0.974,true,0.0006760000000000013,2.0495272410986924,9.344796896727788,20.517843033278965,2.629753395626321,0.25,0.625,2.282318412739038,3.536465692520141,2.809706687927246,0.106,8.27703857335955,-10.055100812911988,3.2080185413360596,0.997,4.230424969720842,4.76789210319519,0.9745603203773499,0.0,0.08317126722863176,0.15648797899484634,0.19861888885498047,0.208,1.3519684628259392,2.306021440029145,2.0967774391174316,0.127,0.06203429976822806,0.015089984685182599,0.2774653434753418,0.485,0.0430483243399364,0.09045755699276926,0.21172058582305908,0.398,0.06621361880737536,0.1105115956813097,0.08877057582139969,0.05,,,,
2020,1,base,2020-10-10,256,0.0,false,0.0,1.9829928956304148,5.925263806467058,12.65411045369313,2.61811912035942,0.4,0.6,5.218104844974575,7.029772682189939,3.5904250144958496,0.036,1.8269690625649684,-2.501399645805358,2.6557493209838867,0.876,1.3119612757391488,-1.6096818602085117,0.7699024081230164,0.954,1.445897549411542,-1.927587803602218,2.7151429653167725,0.714,0.1120317454618402,0.022153609991073728,0.40565764904022217,0.309,,,,,,,,,,,,,,,,
2020,26,base,2020-04-18,241,0.653,false,0.42640900000000004,6.4699265307627085,18.625632885034513,-10.672916180184956,7.733267731726167,0.2,0.4,15.57655475023687,17.211748046874998,3.3657941818237305,0.0,9.310108992385858,-12.092058191299436,6.1476287841796875,0.955,0.2149866524962336,-0.5849148488044742,1.3772671222686768,0.387,5.153813589583766,-5.721522722542286,1.4777437448501587,0.99,2.094168669110815,3.0560948491096496,1.928734540939331,0.066,,,,,,,,,,,,,,,,
2020,4,base,2020-09-19,251,0.013,false,0.000169,1.6485478079903624,4.778615311710877,11.573771053567057,2.4097359482645984,0.4,1.0,2.72736921972364,4.646245522499082,4.80173921585083,0.168,2.040002884844541,2.7708964252471935,7.208272933959961,0.348,1.2112742341374236,-1.7970062202215198,1.6396353244781494,0.874,2.0423632767528654,-2.803193446397781,2.653775215148926,0.882,0.22172942449334093,0.031338126957416654,0.9963919520378113,0.542,,,,,,,,,,,,,,,,
2020,8,base,2020-08-22,250,0.005,false,0.000025,1.8832888241750203,5.379317827636033,10.09145353606601,2.8575710667371745,0.4,0.8,1.9467067555913313,3.2321730089187595,5.063085556030273,0.259,3.193584985671044,5.404479970932008,7.161562919616699,0.223,1.927670027118139,-2.6362455791234973,1.3993984460830688,0.957,2.097484572971331,-2.800063457489013,2.846383571624756,0.885,0.25099777952325525,-0.21489331722259508,0.891525387763977,0.647,,,,,,,,,,,,,,,,
2023,1,base,2023-10-07,370,0.68,true,0.10239999999999996,0.8293245773500499,2.983620407185692,22.90833441728944,1.157238784517561,0.42857142857142855,1.0,2.4280975794872672,-3.6876610088348416,2.6382203102111816,0.931,0.7158053507575389,-0.2588364315032954,3.0471251010894775,0.576,0.49049755880191964,0.7453462326526648,1.4812337160110474,0.324,1.400604487144052,2.3323478555679316,1.9842346906661987,0.117,0.2910956460666657,0.35762739539146393,1.1334847211837769,0.399,0.2505461646563559,-0.40694644480943687,0.5144039988517761,0.793,,,,,,,,,0.22862525453655044,-0.3119061228632928,0.5610289573669434,0.754
2023,26,base,2023-04-15,340,0.303,true,0.4858090000000001,2.3020132386532786,8.177270556935195,18.22366265886109,3.5141689102138796,0.2857142857142857,0.8571428571428571,3.4271618342673795,-5.562960224151614,5.127756118774414,0.871,6.4096695477443895,9.981092529296875,6.8811469078063965,0.062,2.057681740066259,-2.974805400371551,1.9869849681854248,0.918,1.2260581360715994,2.333380506038665,4.900859832763672,0.358,2.066807094823606,-2.612323787212372,1.2663098573684692,0.967,0.490045893849814,-0.7046166974306107,0.7869101166725159,0.834,,,,,,,,,0.4366684237498999,-0.4300032269954682,1.320427656173706,0.741
