target,horizon_weeks,variant,p_right_bloc_ahead,right_bloc_ahead,brier_bloc,crps_pp,energy_pp,log_score_share,mae_pp,coverage_50,coverage_90,crps_pp[National],error_pp[National],sd_pp[National],pit[National],crps_pp[Labour],error_pp[Labour],sd_pp[Labour],pit[Labour],crps_pp[Green],error_pp[Green],sd_pp[Green],pit[Green],crps_pp[ACT],error_pp[ACT],sd_pp[ACT],pit[ACT],crps_pp[NZ First],error_pp[NZ First],sd_pp[NZ First],pit[NZ First],crps_pp[Te Pāti Māori],error_pp[Te Pāti Māori],sd_pp[Te Pāti Māori],pit[Te Pāti Māori],crps_pp[New Conservative],error_pp[New Conservative],sd_pp[New Conservative],pit[New Conservative],crps_pp[United Future],error_pp[United Future],sd_pp[United Future],pit[United Future],crps_pp[TOP],error_pp[TOP],sd_pp[TOP],pit[TOP]
2017,1,ensemble,0.329,true,0.45024100000000006,0.6426733899073032,3.1210402909021564,33.86289090492365,0.959497055967804,0.875,1.0,1.4342958789372824,-2.1715701341629035,4.207254409790039,0.715,2.7636197282878676,4.491174325942993,4.72896671295166,0.1625,0.35024195196763147,-0.3611363810300833,1.2344121932983398,0.64075,0.03429499928272706,0.03718485869467257,0.14615178108215332,0.44625,0.4377477025283733,-0.5715716004371638,1.3934720754623413,0.67825,0.07484360869569379,-0.017081715464591953,0.3340487480163574,0.56825,0.03271053733779271,-0.014421937763690927,0.1293034851551056,0.65475,0.013632712221057412,-0.011835494246333837,0.04333139955997467,0.71325,,,,
2017,1,calibrated,0.2255,true,0.5998502499999999,0.6528629760285595,3.253276370142482,-34.25312531022524,0.9842482841807008,0.5,0.875,1.3023207375928096,-2.1264405469488934,2.6940914753433014,0.80525,3.0378882689503333,4.4903886822685255,3.0205348907255054,0.077,0.27788880669456445,-0.412632942975516,0.7771818456833022,0.707,0.023096567854627253,0.027811065142380707,0.0909831547731293,0.39825,0.38700428156453226,-0.6343109228758192,0.8849843601072169,0.7605,0.05094703926678721,-0.04010343711764574,0.20639848214999337,0.61575,0.012977968433220868,0.010950809279452805,0.058270443662593166,0.6425,0.13078013787160087,0.13134786683737248,0.00498784304729621,0.0,,,,
2017,1,equal,0.371,true,0.395641,0.5539673091386255,2.784501826681578,33.95443408525226,0.8223728082643357,0.875,1.0,1.2069023995708683,-1.6789824485778815,4.0507097244262695,0.67525,2.2971747136072063,3.890296921730041,4.5645751953125,0.18025,0.3382369496181539,-0.3989577633142477,1.1566083431243896,0.6655,0.0384101414588018,0.05531291291117667,0.1515495777130127,0.40525,0.4390669622845832,-0.5407574892044062,1.4120073318481445,0.67125,0.06785752398620498,-0.011792827695608112,0.3021995425224304,0.55175,0.031749649216276446,-0.0002744493633508472,0.14452503621578217,0.61275,0.012340133366907846,-0.002607653317973017,0.05093206837773323,0.63125,,,,
2017,4,ensemble,0.624,true,0.141376,0.7623422319870118,3.383321288717455,31.230318210997282,1.0855612057051622,0.625,1.0,1.014651069562696,-0.582683157920838,4.496096611022949,0.5555,2.2373512352655833,-3.499820723533631,5.244204044342041,0.7635,1.5066860328887082,2.299943159818649,1.5375350713729858,0.0595,0.04960539898381687,0.07993242517113684,0.20328262448310852,0.369,1.1398833844438898,2.0262372374534614,2.3091588020324707,0.20425,0.09667743760025764,0.11164559766650203,0.4707881808280945,0.4675,0.04198947214071429,0.07152248848229649,0.23275455832481384,0.4935,0.011893825010428637,0.012704855594784022,0.07304131239652634,0.539,,,,
2017,4,calibrated,0.637,true,0.131769,0.7695568785106336,3.349337148575395,25.499482032225373,1.1023643216903691,0.5,0.875,0.961143421926949,-0.5927182438274836,4.2436478209088975,0.55975,2.229330838396664,-3.533230639941487,4.94592639470796,0.7735,1.5281772499897024,2.287811056330659,1.4518510599137935,0.0505,0.047496207732091705,0.07674964981392489,0.1899081907187051,0.3635,1.1347573056715727,1.9978926921115012,2.1755951641258187,0.18725,0.09132810707232304,0.1036999903764704,0.43944969210240725,0.46475,0.033964528698878685,0.09177737238608434,0.19515325823846294,0.48775,0.1302573685968872,0.1350349287353428,0.03512930066537258,0.0,,,,
2017,4,equal,0.6935,true,0.09394224999999999,0.8164167567598145,3.6212939538036286,31.57052916550726,1.120127593035577,0.625,1.0,0.9121871639838443,-0.07695860862731996,4.06335973739624,0.49425,2.6315755171062984,-4.119279875755311,4.743908882141113,0.81425,1.569188205216783,2.3763972926139827,1.5592633485794067,0.06675,0.05428715750005724,0.09639974497258662,0.20235076546669006,0.3305,1.231878947020928,2.169203448295594,2.2224879264831543,0.163,0.08158447172605024,0.08459198072552684,0.4397647976875305,0.48225,0.037556801215141634,0.02679730508476498,0.21601411700248718,0.578,0.013075790309412597,0.011392488209530711,0.06387460976839066,0.5105,,,,
2017,8,ensemble,0.92,true,0.006399999999999993,1.9086804335092789,8.765839833425105,24.196765387513114,2.5507980170683,0.375,0.75,1.719604086567275,2.9037623882293695,3.7979495525360107,0.22575,7.719081165231673,-9.73928560256958,3.7064995765686035,0.9875,4.174763919455885,4.926245998144149,1.3680273294448853,0.0,0.06024080421100811,0.11304662376642226,0.22997844219207764,0.31575,1.3863874753552488,2.4361078321933753,2.495189666748047,0.168,0.09076058582601775,0.039958718866109876,0.42621633410453796,0.5235,0.0597874273668807,0.14034257013350726,0.2449602335691452,0.29275,0.058818004060241756,0.10763440264388918,0.09842835366725922,0.0745,,,,
2017,8,calibrated,0.89075,true,0.011935562499999991,1.8703959034080433,8.540949130635227,24.340643215409177,2.5516394433749676,0.5,0.625,1.6618790292391377,2.722976395580279,4.363591325770648,0.26375,7.5262535538755895,-9.79062661662185,4.2541394082448685,0.98,4.035821794741836,4.8987138112924224,1.5727661972558777,0.0,0.06472537145820116,0.12287938579991844,0.2738462242636942,0.3445,1.3777182790334992,2.493449557058151,2.8799291009858656,0.198,0.10455543301575478,0.057093426196255966,0.5008334480379752,0.524,0.061208610404008726,0.16778810018567028,0.29047067264585263,0.33575,0.13100515549631817,0.15958825426519233,0.08076659795266872,0.0,,,,
2017,8,equal,0.9425,true,0.0033062499999999993,1.964718196131937,8.924540442254935,23.883202447693083,2.592818539300933,0.375,0.75,1.891980442203209,3.1018971681594842,3.4988136291503906,0.18225,7.949172278368157,-9.908863797187806,3.5537049770355225,0.993,4.217865831583507,4.9048881638050075,1.309348225593567,0.0,0.06660105118322537,0.12974742613732815,0.2346256673336029,0.28925,1.3983199597780125,2.4381105482578285,2.4193248748779297,0.1425,0.07913548954618542,0.0279107575118542,0.3859961926937103,0.5085,0.05430157549558591,0.12426438018679621,0.23945562541484833,0.3375,0.06036894089761697,0.1068660731613636,0.09663306176662445,0.06975,,,,
2017,26,ensemble,0.8485,true,0.02295224999999999,1.4421044863105617,6.1759206584578275,22.09872414327068,2.0486827894952144,0.5,0.625,1.527588030785881,2.4408756971359247,3.9220900535583496,0.2585,5.101614028997533,-7.262173190116883,4.193902492523193,0.9525,3.5950726367990966,4.339655827283859,1.3573552370071411,0.00375,0.048007205029748756,0.012966467067599286,0.21725082397460938,0.53325,0.65399992980907,1.0922041416168218,2.7422220706939697,0.38175,0.4174299685429946,0.8116247576475144,0.8719310164451599,0.12825,0.07822133606625789,0.20580730609595776,0.3696061074733734,0.30825,0.11490275445391158,0.224154928997159,0.27631062269210815,0.0395,,,,
