variant,crps_pp,energy_pp,mae_pp,coverage_50,coverage_90,log_score_share,brier_bloc,n_cases
gauss,1.57931712477657,5.507093673719816,2.274462762388104,0.4693452380952381,0.8860119047619048,19.45037972211012,0.12284466666666666,12
heavy,1.5996831872254855,5.54896509194631,2.2801870197959526,0.4142857142857143,0.8574404761904763,19.58583412719638,0.11071558333333335,12
calibrated,1.6013861102075426,5.504565912220734,2.3121528746164897,0.45565476190476195,0.8366071428571429,13.081824671595006,0.12608506249999998,12
ensemble,1.6019665673294299,5.539594596577938,2.289451423757626,0.4693452380952381,0.8693452380952381,19.55400605093817,0.12320073437500001,12
equal,1.6686757617311745,5.7799775980662345,2.364520082867133,0.4589285714285714,0.8693452380952381,19.179743486044302,0.122989296875,12
base,1.8982794539081054,6.511771168322103,2.5995361853205274,0.4157738095238095,0.8151785714285714,17.34972755698489,0.14981883333333335,12
legacy,1.9695857337561253,6.604936098105618,2.4745031280124823,0.18244047619047618,0.5526785714285715,0.15544150129111708,0.04070383333333335,12
